cve,event_type,event_date,source,raw_date_field
CVE-2021-1905,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1906,KEV,2021-11-03,KEV,dateAdded
CVE-2021-20016,KEV,2021-11-03,KEV,dateAdded
CVE-2021-20021,KEV,2021-11-03,KEV,dateAdded
CVE-2021-20022,KEV,2021-11-03,KEV,dateAdded
CVE-2021-20023,KEV,2021-11-03,KEV,dateAdded
CVE-2021-20090,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21017,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21148,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21166,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21193,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21206,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21220,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21224,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21972,KEV,2021-11-03,KEV,dateAdded
CVE-2021-21985,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22005,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22205,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22502,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22506,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22893,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22894,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22899,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22900,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22986,KEV,2021-11-03,KEV,dateAdded
CVE-2021-23874,KEV,2021-11-03,KEV,dateAdded
CVE-2021-26084,KEV,2021-11-03,KEV,dateAdded
CVE-2021-26411,KEV,2021-11-03,KEV,dateAdded
CVE-2021-26855,KEV,2021-11-03,KEV,dateAdded
CVE-2021-26857,KEV,2021-11-03,KEV,dateAdded
CVE-2021-26858,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27059,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27065,KEV,2021-11-03,KEV,dateAdded
